life_exp,gdp_cap
43.828,974.5803384
76.423,5937.029526
72.301,6223.367465
42.731,4797.231267
75.32,12779.37964
81.235,34435.36744
79.829,36126.4927
75.635,29796.04834
64.062,1391.253792
79.441,33692.60508
56.728,1441.284873
65.554,3822.137084
74.852,7446.298803
50.728,12569.85177
72.39,9065.800825
73.005,10680.79282
52.295,1217.032994
49.58,430.0706916
59.723,1713.778686
50.43,2042.09524
80.653,36319.23501
44.741,706.016537
50.651,1704.063724
78.553,13171.63885
72.961,4959.114854
72.889,7006.580419
65.152,986.1478792
46.462,277.5518587
55.322,3632.557798
78.782,9645.06142
48.328,1544.750112
75.748,14619.22272
78.273,8948.102923
76.486,22833.30851
78.332,35278.41874
54.791,2082.481567
72.235,6025.374752
74.994,6873.262326
71.338,5581.180998
71.878,5728.353514
51.579,12154.08975
58.04,641.3695236
52.947,690.8055759
79.313,33207.0844
80.657,30470.0167
56.735,13206.48452
59.448,752.7497265
79.406,32170.37442
60.022,1327.60891
79.483,27538.41188
70.259,5186.050003
56.007,942.6542111
46.388,579.231743
60.916,1201.637154
70.198,3548.330846
82.208,39724.97867
73.338,18008.94444
81.757,36180.78919
64.698,2452.210407
70.65,3540.651564
70.964,11605.71449
59.545,4471.061906
78.885,40675.99635
80.745,25523.2771
80.546,28569.7197
72.567,7320.880262
82.603,31656.06806
72.535,4519.461171
54.11,1463.249282
67.297,1593.06548
78.623,23348.13973
77.588,47306.98978
71.993,10461.05868
42.592,1569.331442
45.678,414.5073415
73.952,12057.49928
59.443,1044.770126
48.303,759.3499101
74.241,12451.6558
54.467,1042.581557
64.164,1803.151496
72.801,10956.99112
76.195,11977.57496
66.803,3095.772271
74.543,9253.896111
71.164,3820.17523
42.082,823.6856205
62.069,944
52.906,4811.060429
63.785,1091.359778
79.762,36797.93332
80.204,25185.00911
72.899,2749.320965
56.867,619.6768924
46.859,2013.977305
80.196,49357.19017
75.64,22316.19287
65.483,2605.94758
75.537,9809.185636
71.752,4172.838464
71.421,7408.905561
71.688,3190.481016
75.563,15389.92468
78.098,20509.64777
78.746,19328.70901
76.442,7670.122558
72.476,10808.47561
46.242,863.0884639
65.528,1598.435089
72.777,21654.83194
63.062,1712.472136
74.002,9786.534714
42.568,862.5407561
79.972,47143.17964
74.663,18678.31435
77.926,25768.25759
48.159,926.1410683
49.339,9269.657808
80.941,28821.0637
72.396,3970.095407
58.556,2602.394995
39.613,4513.480643
80.884,33859.74835
81.701,37506.41907
74.143,4184.548089
78.4,28718.27684
52.517,1107.482182
70.616,7458.396327
58.42,882.9699438
69.819,18008.50924
73.923,7092.923025
71.777,8458.276384
51.542,1056.380121
79.425,33203.26128
78.242,42951.65309
76.384,10611.46299
73.747,11415.80569
74.249,2441.576404
73.422,3025.349798
62.698,2280.769906
42.384,1271.211593
43.487,469.7092981
